Timestamp,Uniquename,Anticipated Grad Date,Are you on the core team?,Questions/suggestions? (if any)
1/9/2020 18:39:49,ebutch,2021,Yes,
1/9/2020 18:54:22,leonhadi,2021,Yes,
1/9/2020 19:09:43,nischal,2021,Yes,
1/9/2020 18:39:28,rsorkin,2022,Yes,
1/9/2020 19:05:02,Ushoot,2021,No,When do core team invites typically go out?
1/9/2020 19:12:52,alexzw,2021,Yes,
1/9/2020 18:40:10,aryans,2023,Yes,
1/9/2020 18:38:20,sjaehnig,2019,Yes,
1/9/2020 18:39:36,wiljwang,2023,Yes,
1/9/2020 18:38:47,rkhzouz,2021,Yes,
1/9/2020 18:56:56,hoal,2023,Yes,
1/9/2020 18:59:53,rogr,2023,Yes,
1/9/2020 19:06:48,criggle,2023,Yes,
1/9/2020 19:01:54,ibirley,2023,No,
1/9/2020 19:05:37,cdmiddle,2021,No,
1/9/2020 19:02:25,doraguo,2023,Yes,
1/9/2020 19:13:16,brianwan,2021,No,
1/9/2020 20:34:10,nitishv,2023,No,
1/9/2020 18:55:41,brchan,2021,Yes,Yeet
1/9/2020 18:59:40,Jushutch,2022,No,
1/9/2020 18:55:48,nikhilsd,2021,No,
1/9/2020 19:21:10,weirongw,2023,No,I think Iâm on the core team but never received an invite?
1/9/2020 19:09:57,mabelcha,2021,No,
1/9/2020 19:10:33,adrianjj,2022,No,
1/9/2020 18:48:22,ibhuiyan,2021,Yes,
1/9/2020 18:39:43,rckhzouz,2021,Yes,
1/9/2020 18:38:42,eashwar,2020,Yes,
1/9/2020 18:54:38,yamanq,2022,Yes,
1/9/2020 18:38:12,cpasca,2023,No,
1/9/2020 18:38:37,cathsu,2020,No,NO NERDS
1/9/2020 18:39:21,neelrp,2021,Yes,
1/9/2020 18:39:25,edwhuang,2022,Yes,
1/9/2020 18:39:30,thsm,2022,Yes,
1/9/2020 18:39:34,rishib,2020,Yes,Swag!!
1/9/2020 18:53:05,ondrejk,2023,No,
1/9/2020 18:53:59,luccorr,2022,No,
1/9/2020 18:54:09,abhikmaz,2023,No,
1/9/2020 18:54:26,zgohl,2023,No,
1/9/2020 18:54:43,sidnaga,2023,No,Can guests participate in core projects on hack nights? 
1/9/2020 18:55:00,vnaray,2023,No,
1/9/2020 18:57:05,nholbroo,2021,No,
1/9/2020 18:57:17,rsnaray,2023,No,How can I get on the core team?
1/9/2020 18:57:39,kimesthe,2022,No,"Other than attending 3 hack nights in a row, are there any other requirements I have to meet to join the core team?"
1/9/2020 19:01:02,aliibrah ,2022,Yes,music
1/9/2020 19:05:02,sidp,2021,No,
1/9/2020 19:05:12,afraz,2022,No,
1/9/2020 19:05:44,Alogreer ,2021,Yes,
1/9/2020 19:05:46,ocsean,2023,No,
1/9/2020 19:06:08,Lockejus,2023,Yes,
1/9/2020 19:06:16,Wangdan,2023,No,
1/9/2020 19:06:16,vsharm,2022,Yes,
1/9/2020 19:06:21,mgmii,2023,No,
1/9/2020 19:06:24,Jazzyw,2022,No,
1/9/2020 19:08:50,cindygu,2022,Yes,
1/9/2020 19:06:37,drodz,2022,No,
1/9/2020 19:07:56,ychhabra,2023,No,Iâm new what do I do lmao
1/9/2020 19:08:44,nishrp,2022,No,
1/9/2020 19:09:58,randyrcw,2022,No,
1/9/2020 19:10:01,vijair,2023,No,
1/9/2020 19:10:16,mmolia,2022,No,
1/9/2020 19:11:28,dlzhang,2022,No,
1/9/2020 19:11:37,rushilk,2022,Yes,
1/9/2020 19:11:48,matomasz,2023,No,
1/9/2020 19:12:04,Broryan,2022,No,
1/9/2020 19:12:13,whbiao@umich.edu,2023,No,
1/9/2020 19:12:26,Yandachu,2022,Yes,
1/9/2020 19:21:35,kylewilk,2023,No,
1/9/2020 19:30:24,tomasfe,2023,No,
