Timestamp,Uniqname,Anticipated Grad Date,Questions/Suggestions?
9/19/2019 19:05:46,ranyoo,2022,
9/19/2019 19:06:01,drodz,2022,
9/19/2019 19:06:01,rogr,2023,
9/19/2019 19:06:07,chafke,2020,
9/19/2019 19:06:39,dharivib,2023,
9/19/2019 19:07:04,ibhuiyan,2021,
9/19/2019 19:07:17,Misiakm,2023,
9/19/2019 19:07:23,lucakato,2023,
9/19/2019 19:07:40,criggle,2023,
9/19/2019 19:08:12,Guptash,2022,
9/19/2019 19:08:26,abansode,2023,
9/19/2019 19:08:30,oshulman,2022,
9/19/2019 19:08:35,sjaehnig,2023,
9/19/2019 19:08:37,angelai,2023,
9/19/2019 19:09:00,tybrandt,2023,
9/19/2019 19:09:22,Alyssaru,2023,
9/19/2019 19:09:39,Mjemam,2022,
9/19/2019 19:09:44,jakoba,2022,
9/19/2019 19:09:54,cpvega,2023,
9/19/2019 19:10:15,nitishv,2023,Nope.
9/19/2019 19:10:17,jennalsh,2023,
9/19/2019 19:10:24,alexzw,2021,😀
9/19/2019 19:10:30,neelrp,2021,
9/19/2019 19:10:33,spvyerra,2022,
9/19/2019 19:10:46,amtsang,2022,
9/19/2019 19:10:51,ryansiu,2021,
9/19/2019 19:10:51,Arlough,2023,
9/19/2019 19:10:56,stomobe,2021,Any good cores to join for absolute beginners?
9/19/2019 19:11:06,dogras,2022,
9/19/2019 19:11:24,aveekdg,2023,Not at this time
9/19/2019 19:11:48,jaredzh,2023,
9/19/2019 19:12:29,shiyeli,2022,
9/19/2019 19:12:38,ljeff,2023,
9/19/2019 19:12:46,rqkang,2023,n/a
9/19/2019 19:12:48,javierct,2022,
9/19/2019 19:12:58,ciancioe,2019,
9/19/2019 19:13:19,eshab,2022,
9/19/2019 19:13:48,luccorr,2022,
9/19/2019 19:13:51,jenil,2023,
9/19/2019 19:15:11,opang,2023,
9/19/2019 19:15:26,calberto,2022,
9/19/2019 19:15:51,agedeon,2022,
9/19/2019 19:16:00,yashmr,2022,
9/19/2019 19:16:41,ananyaj,2023,
9/19/2019 19:16:54,rmariana,2023,
9/19/2019 19:16:55,cblesy,2023,
9/19/2019 19:16:57,ctkrug,2022,
9/19/2019 19:17:05,gmgodwin,2023,
9/19/2019 19:17:09,sfancher,2023,N/A
9/19/2019 19:17:30,adrianjj,2022,
9/19/2019 19:18:00,vallemkr,2022,
9/19/2019 19:18:26,seungjle,2021,
9/19/2019 19:19:05,yamanq,2022,
9/19/2019 19:19:13,eashwar,2020,
9/19/2019 19:19:51,Hannahz,2021,
9/19/2019 19:20:21,hoffnick,2021,
9/19/2019 19:20:27,mabelcha,2021,
9/19/2019 19:20:50,bumsikk,2021,
9/19/2019 19:21:30,dpaasman,2022,
9/19/2019 19:21:30,rheidem,2022,
9/19/2019 19:22:59,wxzhu,2021,
9/19/2019 19:23:35,drvander,2023,
9/19/2019 19:24:22,chenglaw,2022,
9/19/2019 19:24:27,dlzhang,2022,
9/19/2019 19:24:44,mattkond,2022,
9/19/2019 19:25:50,vwhall,2021,
9/19/2019 19:27:05,cdmiddle,2021,
9/19/2019 19:27:57,ibirley,2023,
9/19/2019 19:28:06,tlhaddad,2023,
9/19/2019 19:31:44,lfelpi,2023,
9/19/2019 19:33:24,Mgmii,2023,
9/19/2019 19:35:43,nkono,2021,
9/19/2019 19:36:25,aravagar,2022,
9/19/2019 19:38:03,theocruz,2021,
9/19/2019 19:38:10,vjanet,2021,
9/19/2019 19:39:37,phoebel,2022,
9/19/2019 19:39:50,ershan,2021,
9/19/2019 19:40:46,yuhchen,2023,
9/19/2019 19:42:10,cindygu,2022,
9/19/2019 19:42:14,singhha,2022,
9/19/2019 19:43:13,darmawan,2023,
9/19/2019 19:43:18,cathsu,2020,NONE NERD
9/19/2019 19:43:47,kashyapa,2021,
9/19/2019 19:44:27,eamesa,2023,no
9/19/2019 19:50:10,wiljwang,2023,
9/19/2019 19:53:19,devliang,2022,
9/19/2019 19:53:25,daviwang,2022,
9/19/2019 19:53:26,heesunch,2021,
9/19/2019 19:53:33,ocsean,2023,
9/19/2019 19:53:59,rkhzouz,2021,
9/19/2019 19:56:02,bahrainw,2022,
9/19/2019 19:57:03,ricwong,2023,
9/19/2019 20:01:11,abrahaja,2022,
9/19/2019 20:01:39,kkpezesh,2021,
9/19/2019 20:14:31,greenlar,2022,
9/19/2019 20:14:52,tanst,2023,
9/19/2019 20:19:31,snad,2022,"Is there an opportunity to work on personal projects through Michigan Hackers, rather than being on any one particular team?"
9/19/2019 20:23:11,cpasca,2023,
9/19/2019 20:24:57,nimic,2023,
9/19/2019 20:25:18,aryans,2023,Faster Wifi
9/19/2019 20:25:35,doraguo,2019,
9/19/2019 20:26:23,juslong,2022,
9/19/2019 20:30:55,romary,2021,
9/19/2019 20:38:41,akashakk,2022,
9/19/2019 20:50:22,jgleona,2022,
9/19/2019 20:50:27,sszaman,2022,
9/19/2019 20:55:27,seanmcsw,2022,
9/19/2019 20:56:11,nischal,2021,
9/19/2019 20:56:24,kachnick,2022,
9/19/2019 21:32:47,xukailun,2021,
9/19/2019 21:34:39,bclow,2022,
9/19/2019 21:36:50,yamanq,2022,
9/19/2019 21:52:15,anjam,2021,
9/19/2019 22:17:17,edwhuang,2022,
9/19/2019 22:56:52,eunpyo,2020,
