Timestamp,Uniqname*,Anticipated Grad Date,Questions/Suggestions?
9/26/2019 18:48:18,edwhuang,2022,
9/26/2019 18:48:59,dharivib,2023,
9/26/2019 18:49:32,sfancher,2023,N/A
9/26/2019 18:51:06,chafke,2020,
9/26/2019 18:51:14,Lockejus,2023,
9/26/2019 18:52:09,lokrajs,2022,
9/26/2019 18:52:34,abbansal,2022,
9/26/2019 18:55:49,sjaehnig,2023,
9/26/2019 18:55:49,jlmurry,2021,
9/26/2019 18:55:56,dpaasman,2022,
9/26/2019 18:56:02,calzheng,2022,
9/26/2019 18:56:24,rsorkin,2022,
9/26/2019 18:56:30,rishib,2021,
9/26/2019 18:57:12,neelrp,2021,
9/26/2019 19:03:00,thsm,2022,
9/26/2019 19:03:15,eashwar,2020,
9/26/2019 19:03:26,phoebel,2022,
9/26/2019 19:03:29,gmgodwin,2023,
9/26/2019 19:03:45,drodz,2022,
9/26/2019 19:04:02,connorpm,2021,
9/26/2019 19:04:17,leonhadi,2021,
9/26/2019 19:04:29,abrahaja,2022,
9/26/2019 19:04:30,hannahz,2021,
9/26/2019 19:04:30,rkhzouz,2021,
9/26/2019 19:04:44,rqkang,2023,
9/26/2019 19:05:01,rckhzouz,2021,
9/26/2019 19:05:02,ryansiu,2021,
9/26/2019 19:05:04,bumsikk,2021,
9/26/2019 19:05:16,nkono,2021,
9/26/2019 19:05:18,jhyeongk,2021,
9/26/2019 19:05:52,alagiset,2022,
9/26/2019 19:05:53,Babbittw,2022,
9/26/2019 19:06:07,cdmiddle,2021,
9/26/2019 19:06:40,devliang,2022,
9/26/2019 19:06:42,yedullae,2022,
9/26/2019 19:06:45,kayuw,2023,
9/26/2019 19:07:03,ibhuiyan,2021,
9/26/2019 19:07:09,davichoi,2022,
9/26/2019 19:07:16,dogras,2022,
9/26/2019 19:07:20,seanmcsw,2022,
9/26/2019 19:07:24,darmawan,2023,
9/26/2019 19:07:26,Mariana,2023,
9/26/2019 19:07:29,genemc,2022,
9/26/2019 19:07:32,ibirley,2023,
9/26/2019 19:07:39,calberto,2022,
9/26/2019 19:07:40,angelai,2023,
9/26/2019 19:07:46,sdirjay,2021,
9/26/2019 19:07:48,xuansean,2022,
9/26/2019 19:07:59,zzt,2022,N/A
9/26/2019 19:08:05,ananyaj,2023,
9/26/2019 19:08:15,tybrandt ,2023,
9/26/2019 19:08:35,ktjlee,2021,
9/26/2019 19:08:36,ebutch,2021,NA
9/26/2019 19:09:23,eamesa,2023,
9/26/2019 19:09:28,xinyanzh,2022,
9/26/2019 19:09:49,rogr,2023,
9/26/2019 19:10:00,yuzhouli,2021,
9/26/2019 19:10:06,connory,2021,
9/26/2019 19:10:09,Arlough,2023,
9/26/2019 19:10:25,simyilin,2022,
9/26/2019 19:10:29,drvander,2023,
9/26/2019 19:10:31,Yandachu,2022,
9/26/2019 19:10:39,alexzw,2021,Na
9/26/2019 19:10:39,samzliu,2023,
9/26/2019 19:10:47,ahonzik,2022,
9/26/2019 19:11:06,leozhu,2021,
9/26/2019 19:11:09,daviwang,2022,
9/26/2019 19:11:32,dlzhang,2022,
9/26/2019 19:12:28,wookwan,2023,
9/26/2019 19:12:35,Rbtm,2021,
9/26/2019 19:12:59,niharj,2023,
9/26/2019 19:13:00,cathsu,2020,NONE NERDS
9/26/2019 19:13:03,nitishv,2023,
9/26/2019 19:13:39,cblesy,2023,
9/26/2019 19:13:42,skychen,2021,
9/26/2019 19:14:13,misiakm,2023,
9/26/2019 19:14:21,anthhocy,2023,
9/26/2019 19:14:52,patmckee,2022,
9/26/2019 19:15:27,rnag,2022,
9/26/2019 19:16:21,tomasfe,2023,
9/26/2019 19:16:37,zzt,2022,N/A
9/26/2019 19:16:39,yamanq,2022,
9/26/2019 19:16:40,bhattadi,2021,
9/26/2019 19:18:08,doraguo,2023,
9/26/2019 19:19:08,criggle,2023,
9/26/2019 19:19:37,alatreil,2023,
9/26/2019 19:20:25,agedeon,2022,
9/26/2019 19:21:09,amtsang,2022,
9/26/2019 19:21:15,hoal,2023,
9/26/2019 19:22:15,akashakk,2022,
9/26/2019 19:24:14,eshab,2022,
9/26/2019 19:24:50,hoffnick,2021,
9/26/2019 19:25:30,wiljwang,2023,
9/26/2019 19:25:37,fuhjanis,2021,
9/26/2019 19:28:01,apentapa,2022,
9/26/2019 19:28:23,vallemkr,2022,
9/26/2019 19:29:14,zwenxuan,2021,
9/26/2019 19:29:31,mohami,2022,
9/26/2019 19:30:50,qingyue,2022,
9/26/2019 19:31:51,jaredzh,2023,
9/26/2019 19:32:19,nischal,2021,
9/26/2019 19:33:12,lucakato,2023,
9/26/2019 19:35:18,rajasg,2021,This is my first hack night!
9/26/2019 19:35:28,vsharm,2022,
9/26/2019 19:46:20,cabrerak,2021,
9/26/2019 19:48:48,ricwong,2023,
9/26/2019 20:01:19,singhha,2022,
9/26/2019 20:01:30,vlunani,2023,
9/26/2019 20:08:21,ocsean,2023,
9/26/2019 20:09:49,bclow,2022,
9/26/2019 20:13:02,kylewilk,2023,
9/26/2019 20:37:00,ikong,2020,-
9/26/2019 20:37:35,edpeper,2020,
9/26/2019 20:57:08,mkowsika,2022,
9/26/2019 21:02:04,ihuffman,2022,
9/26/2019 21:13:45,jgleona,2022,
9/26/2019 21:13:45,sszaman,2022,
